id;
R_PRUK_1_l;
R_PGDHh_l;
R_RPIh_l;
R_RPEh_l;
R_BFBP_l;
R_G6PI2_l;
R_PGIBh_l;
R_PYK_l;
R_PDHm_l;
R_CSm_l;
R_ICDHym_l;
R_GLUDym_l;
R_ICDHxm_l;
R_AKGDm_l;
R_SUCOASm_l;
R_SDH_m_l;
R_FUMm_l;
R_MDHm_l;
R_EX_photon_h_l;
R_CYOOmSLYC_l;
R_PRUK_1_s;
R_PGDHh_s;
R_RPIh_s;
R_RPEh_s;
R_BFBP_s;
R_G6PI2_s;
R_PGIBh_s;
R_PYK_s;
R_PDHm_s;
R_CSm_s;
R_ICDHym_s;
R_GLUDym_s;
R_ICDHxm_s;
R_AKGDm_s;
R_SUCOASm_s;
R_SDH_m_s;
R_FUMm_s;
R_MDHm_s;
R_EX_photon_h_s;
R_CYOOmSLYC_s;
R_PRUK_1_r;
R_PGDHh_r;
R_RPIh_r;
R_RPEh_r;
R_BFBP_r;
R_G6PI2_r;
R_PGIBh_r;
R_PYK_r;
R_PDHm_r;
R_CSm_r;
R_ICDHym_r;
R_GLUDym_r;
R_ICDHxm_r;
R_AKGDm_r;
R_SUCOASm_r;
R_SDH_m_r;
R_FUMm_r;
R_MDHm_r;
R_CYOOmSLYC_r;
Exch_r_xyl_M_phe_L_c
Exch_r_xyl_M_tyr_L_c
Exch_r_xyl_M_asn_L_c
Exch_r_xyl_M_asp_L_c
Exch_r_xyl_M_gln_L_c
Exch_r_xyl_M_arg_L_c
Exch_r_xyl_M_sucr_c
Exch_r_xyl_M_glc_D_c
Exch_r_xyl_M_thr_L_c
Exch_r_xyl_M_pro_L_c
Exch_r_xyl_M_val_L_c
Exch_r_xyl_M_so4_c
Exch_r_xyl_M_ile_L_c
Exch_r_xyl_M_leu_L_c
Exch_r_xyl_M_lys_L_c
Exch_r_xyl_M_etoh_c
Exch_r_xyl_M_no3_c
Exch_r_xyl_M_nh4_c
Exch_r_xyl_M_pi_c
Exch_r_xyl_M_ca2_c
Exch_r_xyl_M_mg2_c
Exch_r_xyl_M_fum_c
Exch_r_xyl_M_h2o_c
Exch_r_xyl_M_k_c
Exch_r_xyl_M_no2_c
Exch_r_xyl_M_ala_L_c
R_EX_photon_h_r
R_EX_photon_h_l
R_EX_photon_h_s